"AuthorID","CitationsAll","CitationsS2014","hIndexAll","hIndexS2014","i10IndexAll","i10IndexS2014","CoAuthorIDs","CoAuthorNames","Description","DescriptionURLs"
aLegzvoAAAAJ, 178128, 71828, 116, 89, 191, 169, , , Professor of Biology, HHMI,  | MIT | , Whitehead Institute | Verified email at wi.mit.edu -  | Homepage | Biology | Gene Regulation | MicroRNAs | Noncoding RNA | Molecular Biology, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://bartellab.wi.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:gene_regulation | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:micrornas | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:noncoding_rna | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:molecular_biology
Qf4bw4UAAAAJ, 125840, 34588, 117, 66, 246, 182, , , MIT | Verified email at csail.mit.edu -  | Homepage | Networked computer systems | wireless networks | network architecture | mobile computing, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://nms.csail.mit.edu/~hari | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networked_computer_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wireless_networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:network_architecture | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mobile_computing
m_WijIcAAAAJ, 83294, 26224, 115, 72, 855, 368, , , Massachusetts Institute of Technology | Verified email at mit.edu | Biomedical Optics and Spectroscopy | Raman | Phase Microscopy, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:biomedical_optics_and_spectroscopy | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:raman | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:phase_microscopy
Kkjq1vMAAAAJ, 99811, 32617, 171, 92, 550, 452, , , Professor of Chemistry,  | Massachusetts Institute of Technology | Verified email at mit.edu -  | Homepage | organic synthesis | organometallic chemistry | catalysis | asymmetric catalysis | flow chemistry, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://mit.edu/chemistry/buchwald/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:organic_synthesis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:organometallic_chemistry | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:catalysis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:asymmetric_catalysis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:flow_chemistry
in6eBIwAAAAJ, 66047, 12021, 73, 44, 163, 120, , , Professor of Computer Science,  | MIT | Verified email at mit.edu | Networks | Operating Systems | Distributed Systems, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:operating_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:distributed_systems
0zZnyMEAAAAJ, 68709, 27299, 110, 78, 283, 229, , , Professor of Computer Science,  | MIT | Verified email at mit.edu | computer vision | computational photography, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_vision | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_photography
jpqAJIMAAAAJ, 69122, 47919, 156, 130, 386, 335, , , Professor of Physics,  | MIT | Verified email at mit.edu -  | Homepage | nanophotonics | photonic crystals | nonlinear optics | wireless power transfer, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://www.rle.mit.edu/marin/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanophotonics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:photonic_crystals | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nonlinear_optics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wireless_power_transfer
QKyb_9oAAAAJ, 65983, 21487, 72, 42, 175, 133, , , Professor of EECS and Professor of Physics,  | MIT | ; Senior Associate Dean of Digital Learning | Verified email at mit.edu -  | Homepage | quantum | digital learning, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://feynman.mit.edu/ike | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:quantum | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:digital_learning
lqyGZpQAAAAJ, 64886, 26520, 83, 60, 221, 156, , , MIT | ; NBER; MIT Sloan; MIT IDE | Verified email at mit.edu -  | Homepage | Economics | Information Economics | Economics of information systems | Productivity, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://digital.mit.edu/erik | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:economics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:information_economics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:economics_of_information_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:productivity
LmhqcScAAAAJ, 65650, 29845, 76, 63, 139, 101, , , MIT | Verified email at mit.edu | Labor Economics | Econometrics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:labor_economics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:econometrics
YLB6tnwAAAAJ, 64210, 36425, 125, 98, 440, 348, , , Professor, Mechanical Engineering,  | massachusetts institute of technology | Verified email at mit.edu | heat | energy | photovoltaic | electromagnetic | desalination, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:heat | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:energy | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:photovoltaic | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:electromagnetic | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:desalination
qAO-Q38AAAAJ, 59797, 13762, 89, 48, 265, 155, , , Professor of Mechanical Engineering,  | MIT | Verified email at mit.edu -  | Homepage | Computational mechanics | Finite element method | Fluid-Structure Interaction | shells, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://meche.mit.edu/people/faculty/?id=10 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_mechanics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:finite_element_method | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:fluid_structure_interaction | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:shells
TcREpMQAAAAJ, 60390, 17740, 77, 47, 216, 133, , , MIT | , Professor of Mechanical Engineering and Information Sciences, Professor of Brain Sciences | Verified email at mit.edu -  | Homepage | Complex Systems | Dynamical Systems | Control Theory | Computational Neuroscience | Robotics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://mit.edu/nsl | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:complex_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:dynamical_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:control_theory | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_neuroscience | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:robotics
Mt9Mhm4AAAAJ, 62436, 19330, 68, 49, 101, 75, , , Professor of Information Technologies & Organization Studies,  | MIT | Verified email at mit.edu, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013
2vQRGrYAAAAJ, 63732, 14077, 94, 53, 234, 146, , , Professor of Computer Science,  | MIT | Verified email at mit.edu -  | Homepage | Information Management | HCI | Semantic Web | PIM | Algorithms, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://people.csail.mit.edu/karger | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:information_management | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:hci | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:semantic_web | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:pim | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:algorithms
w0iKa2kAAAAJ, 63787, 31623, 109, 87, 287, 260, , , Massachusetts Institute of Technology | Verified email at mit.edu | Low dimensional materials, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:low_dimensional_materials
X4ajv-sAAAAJ, 58947, 14438, 91, 56, 149, 115, , , massachusetts institute of technology | Verified email at mit.edu | neuroscience, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:neuroscience
yhDMl8AAAAAJ, 58969, 32228, 87, 70, 173, 145, , , Economics,  | MIT | Verified email at mit.edu | Economics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:economics
8cxDHS4AAAAJ, 57812, 36543, 95, 81, 183, 166, , , Professor of Computer Science,  | MIT | Verified email at csail.mit.edu -  | Homepage | vision | computer vision, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://web.mit.edu/torralba/www/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:vision | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_vision
lyMGnwIAAAAJ, 63198, 32453, 106, 83, 413, 307, , , Professor of Mechanical Engineering,  | Massachusetts Institute of Technology | Verified email at mit.edu -  | Homepage | quantum computation | quantum information | quantum communication | complex systems, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://meche.mit.edu/people/?id=55 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:quantum_computation | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:quantum_information | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:quantum_communication | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:complex_systems
fJwHG68AAAAJ, 54866, 16030, 45, 30, 69, 48, , , JC Penney Professor MIT Sloan,  | MIT | Verified email at mit.edu, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013
RiJSLsoAAAAJ, 57096, 13097, 65, 44, 127, 79, , , Bank of Tokyo Mitsubishi Professor of Economics and Finance, Sloan School of Management,  | M.I.T. | Verified email at mit.edu | Economics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:economics
UE4j0lEAAAAJ, 56685, 29667, 94, 70, 288, 247, , , MIT | Verified email at mit.edu -  | Homepage | nanotechnology | plant nanobionics | thermal properties | nanopore transport | molecular recognition, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://srg.mit.edu/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanotechnology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:plant_nanobionics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:thermal_properties | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanopore_transport | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:molecular_recognition
_MHaph0AAAAJ, 55663, 18657, 79, 56, 264, 193, , , Professor of Applied Mathematics and Physics,  | Massachusetts Institute of Technology | Verified email at math.mit.edu -  | Homepage, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://math.mit.edu/~stevenj/
YCoLskoAAAAJ, 56160, 9578, 92, 46, 181, 103, , , Massuchesetts Institute of Technology ( | MIT | ) | Verified email at mit.edu -  | Homepage | Computer Systems | Operating systems | Distributed Systems | Security, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | https://pdos.csail.mit.edu/~kaashoek | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:operating_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:distributed_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:security
a1ngrCIAAAAJ, 52943, 19149, 93, 69, 220, 187, , , MIT | Verified email at csail.mit.edu -  | Homepage | Computer Systems | Database Systems | Data Management | Mobile Computing | Distributed Systems, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://db.csail.mit.edu/madden | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computer_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:database_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:data_management | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:mobile_computing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:distributed_systems
eBXEZxgAAAAJ, 57427, 16899, 111, 63, 248, 175, , , Professor of Physics,  | MIT | Verified email at mit.edu -  | Homepage | Physics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://space.mit.edu/home/tegmark/ | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:physics
1_DNT3YAAAAJ, 55618, 31841, 91, 67, 1153, 720, , , Research Scientist,  | Massachusetts Institute of Technology | Verified email at mit.edu | Computable General Equilibrium Modeling | Energy Economics | Applied Microeconomics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computable_general_equilibrium_modeling | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:energy_economics | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:applied_microeconomics
xobgmhgAAAAJ, 51814, 14934, 98, 61, 198, 152, , , MIT | Verified email at mit.edu | Neuroscience, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:neuroscience
rRJ9wTJMUB8C, 52677, 27126, 91, 75, 298, 251, , , MIT | Verified email at mit.edu -  | Homepage | Cognitive science | artificial intelligence | machine learning | computational neuroscience | cognitive psychology, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://web.mit.edu/cocosci/josh.html | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cognitive_science | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:artificial_intelligence | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:computational_neuroscience | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:cognitive_psychology
Br2CnUYAAAAJ, 50854, 24002, 106, 71, 280, 237, , , Massachusetts Institute of Technology | Verified email at mit.edu -  | Homepage, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://onelab.mit.edu/
5ugdnAEAAAAJ, 49933, 16305, 52, 38, 70, 50, , , Professor of Accounting,  | MIT | Verified email at mit.edu | Accounting | Finance | Economics, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:accounting | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:finance | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:economics
aiPql48AAAAJ, 50466, 18038, 113, 65, 463, 282, , , Chemical Engineering,  | MIT | Verified email at mit.edu -  | Homepage | Microsystems for chemistry and biology | continuos synthesis | nanomaterials, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://web.mit.edu/jensenlab | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:microsystems_for_chemistry_and_biology | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:continuos_synthesis | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:nanomaterials
ZIw-AGsAAAAJ, 48697, 16226, 66, 44, 121, 91, , , Professor of Economics,  | MIT | Verified email at mit.edu, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013
bWTPrLEAAAAJ, 51186, 16211, 85, 51, 234, 144, , , Professor of Electrical Engineering,  | MIT | Verified email at mit.edu -  | Homepage | systems and control | optimization | stochastic systems | stochastic networks | operations research, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://web.mit.edu/jnt/www/home.html | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:systems_and_control | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:optimization | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:stochastic_systems | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:stochastic_networks | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:operations_research
1-hcASEAAAAJ, 51618, 19208, 97, 66, 312, 227, , , MIT | Verified email at media.mit.edu -  | Homepage | Affective Computing | Artificial Intelligence | Digital Health | Machine Learning | Wearables, /citations?view_op=view_org&hl=en&oe=ASCII&org=16345133980181568013 | http://media.mit.edu/~picard | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:affective_computing | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:artificial_intelligence | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:digital_health | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:machine_learning | /citations?view_op=search_authors&hl=en&oe=ASCII&mauthors=label:wearables
