Title,AuthorIDs,AuthorNames,Cited_url
Machine-to-Machine (M2M) communications: A survey,Wsp4EOwAAAAJ;1pebRh4AAAAJ;boAHUj0AAAAJ,PK Verma;R Verma;A Prakash,"/scholar?cites=10601224563179586884&as_sdt=2005&sciodt=0,5&hl=en"
DTN routing in body sensor networks with dynamic postural partitioning,NjUiHAMAAAAJ,S Biswas,"/scholar?cites=10797748927061284289&as_sdt=2005&sciodt=0,5&hl=en"
Performance modeling of network coding in epidemic routing,tSB5nzIAAAAJ;rkb3_FgAAAAJ,B Liang;B Li,"/scholar?cites=2024283428282811074&as_sdt=2005&sciodt=0,5&hl=en"
Beyond traditional DTN routing: social networks for opportunistic communication,nRBXzFAAAAAJ,C Comaniciu,"/scholar?cites=10403009625758639790&as_sdt=2005&sciodt=0,5&hl=en"
An optimal joint scheduling and drop policy for delay tolerant networks,pCXSdr0AAAAJ;ww87pkcAAAAJ;WVLr6NYAAAAJ,A Krifa;C Barakat;T Spyropoulos,"/scholar?cites=12527836530222224116&as_sdt=2005&sciodt=0,5&hl=en"
Message drop and scheduling in DTNs: Theory and practice,pCXSdr0AAAAJ;ww87pkcAAAAJ;WVLr6NYAAAAJ,A Krifa;C Barakat;T Spyropoulos,"/scholar?cites=6103532289030540370&as_sdt=2005&sciodt=0,5&hl=en"
Retiring replicants: congestion control for intermittently-connected networks,aEVGBDwAAAAJ,SC Nelson,"/scholar?cites=5729235778204685026&as_sdt=2005&sciodt=0,5&hl=en"
Exploiting temporal dependency for opportunistic forwarding in urban vehicular networks,HkaEi3MAAAAJ;L_GQMJIAAAAJ;cFW1n8YAAAAJ,H Zhu;S Chang;M Li,"/scholar?cites=8390784379969445311&as_sdt=2005&sciodt=0,5&hl=en"
Delay and capacity in ad hoc mobile networks with f-cast relay algorithms,eBl025kAAAAJ;phdy0Y0AAAAJ,J Liu;H Nishiyama,"/scholar?cites=2834993460114078403&as_sdt=2005&sciodt=0,5&hl=en"
COUPON: A cooperative framework for building sensing maps in mobile opportunistic networks,jZghsyQAAAAJ;A-vcjvUAAAAJ;jnBRjhcAAAAJ;JURtNb0AAAAJ,D Zhao;H Ma;S Tang;XY Li,"/scholar?cites=9943200615736083850&as_sdt=2005&sciodt=0,5&hl=en"
Secure and privacy preserving protocol for cloud-based vehicular DTNs,LSgGbWMAAAAJ,Z Cao,"/scholar?cites=10848974562744400393&as_sdt=2005&sciodt=0,5&hl=en"
Toward stochastic anatomy of inter-meeting time distribution under general mobility models,MG_pq80AAAAJ,DY Eun,"/scholar?cites=17193622575888095462&as_sdt=2005&sciodt=0,5&hl=en"
A survey of routing and data dissemination in delay tolerant networks,9CUxH-kAAAAJ;GX5RGegAAAAJ;hfkX2v4AAAAJ,CC Sobin;V Raychoudhury;G Marfia,"/scholar?cites=13293971393898353780&as_sdt=2005&sciodt=0,5&hl=en"
Performance evaluation of content-based information retrieval schemes for DTNs,SZBKvksAAAAJ,M Chuah,"/scholar?cites=1719899552503051428&as_sdt=2005&sciodt=0,5&hl=en"
Forward correction and fountain codes in delay-tolerant networks,pEfJPS0AAAAJ;EYyOnEkAAAAJ,E Altman;F De Pellegrini,"/scholar?cites=13941821275147458094&as_sdt=2005&sciodt=0,5&hl=en"
Esc: Energy synchronized communication in sustainable sensor networks,NDPGyw8AAAAJ;BXp6PIIAAAAJ;hc1m_BQAAAAJ,Y Gu;T Zhu;T He,"/scholar?cites=3854854843305782303&as_sdt=2005&sciodt=0,5&hl=en"
SGBR: A routing protocol for delay tolerant networks using social grouping,V4FRuiMAAAAJ;ttUIYysAAAAJ,T Abdelkader;A Nayak,"/scholar?cites=3696118307602814426&as_sdt=2005&sciodt=0,5&hl=en"
DCS: Distributed asynchronous clock synchronization in delay tolerant networks,vNK4Oh4AAAAJ;RIBlz8UAAAAJ;Bjl3GwoAAAAJ,BJ Choi;H Liang;X Shen,"/scholar?cites=9863498403023712060&as_sdt=2005&sciodt=0,5&hl=en"
Optimal activation and transmission control in delay tolerant networks,pEfJPS0AAAAJ;Ez9TfHsAAAAJ;NGIsUesAAAAJ,E Altman;AP Azad;T Baºar,"/scholar?cites=16735016672921308330&as_sdt=2005&sciodt=0,5&hl=en"
An energy-efficient n-epidemic routing protocol for delay tolerant networks,dcDrhzMAAAAJ,P Hui,"/scholar?cites=8970370033458640028&as_sdt=2005&sciodt=0,5&hl=en"
Forwarding in opportunistic networks with resource constraints,KVEH6uwAAAAJ;vrHhOlUAAAAJ,V Erramilli;M Crovella,"/scholar?cites=13391121190250694112&as_sdt=2005&sciodt=0,5&hl=en"
ZOOM: Scaling the mobility for fast opportunistic forwarding in vehicular networks,HkaEi3MAAAAJ;TqyApAUAAAAJ;L_GQMJIAAAAJ;onGydcgAAAAJ;cFW1n8YAAAAJ,H Zhu;M Dong;S Chang;Y Zhu;M Li,"/scholar?cites=7534749981080584052&as_sdt=2005&sciodt=0,5&hl=en"
Backpressure with adaptive redundancy (BWAR),HLkvYl0AAAAJ,M Sathiamoorthy,"/scholar?cites=15063436960363721495&as_sdt=2005&sciodt=0,5&hl=en"
Adaptive asynchronous sleep scheduling protocols for delay tolerant networks,vNK4Oh4AAAAJ;Bjl3GwoAAAAJ,BJ Choi;X Shen,"/scholar?cites=11451353586545192258&as_sdt=2005&sciodt=0,5&hl=en"
Performance of ad hoc networks with two-hop relay routing and limited packet lifetime (extended version),OL3svNoAAAAJ;rMGIECUAAAAJ;pEfJPS0AAAAJ,A Al Hanbali;P Nain;E Altman,"/scholar?cites=9151600546928239249&as_sdt=2005&sciodt=0,5&hl=en"
GeoMob: A mobility-aware geocast scheme in metropolitans via taxicabs and buses,eHLdY1kAAAAJ;4ATfNKkAAAAJ;mlUYzYcAAAAJ,L Zhang;B Yu;J Pan,"/scholar?cites=2712682759794548407&as_sdt=2005&sciodt=0,5&hl=en"
CAIS: A copy adjustable incentive scheme in community-based socially aware networking,KrGMuNcAAAAJ;HDFA2VYAAAAJ;PazaobsAAAAJ;Pwc4CkgAAAAJ,Z Ning;F Xia;B Jedari;I Lee,"/scholar?cites=13833968912240629825&as_sdt=2005&sciodt=0,5&hl=en"
Geographic-based spray-and-relay (GSaR): an efficient routing scheme for DTNs,X0hu8rIAAAAJ;NX-NvbwAAAAJ,Z Sun;N Wang,"/scholar?cites=5867294561349741123&as_sdt=2005&sciodt=0,5&hl=en"
Mobility models; traces and impact of mobility on opportunistic routing algorithms: A survey,XXCHmeQAAAAJ;dzrHTMcAAAAJ,S Batabyal;P Bhaumik,"/scholar?cites=16972972485691079311&as_sdt=2005&sciodt=0,5&hl=en"
From MANET to people-centric networking: Milestones and open research challenges,KniFTD0AAAAJ;rCrzxbsAAAAJ;sgqmaPMAAAAJ;uV8Fl2wAAAAJ,M Conti;C Boldrini;SS Kanhere;E Mingozzi,"/scholar?cites=7580900902539775136&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   Delay-/disruption-tolerant networking: State of the art and future challenges,uudC-YUAAAAJ;E8uwGXMAAAAJ,I Psaras;R Tafazolli,"/scholar?cites=11670491565976480185&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   An analytical study of fundamental mobility properties for encounter-based protocols.,WVLr6NYAAAAJ;Nir4aJAAAAAJ,T Spyropoulos;K Psounis,"/scholar?cites=13935228143382175552&as_sdt=2005&sciodt=0,5&hl=en"
A framework for routing performance analysis in delay tolerant networks with application to noncooperative networks,a4SxZ1MAAAAJ;345-ILkAAAAJ,G Resta;P Santi,"/scholar?cites=13120832358505836168&as_sdt=2005&sciodt=0,5&hl=en"
R3: robust replication routing in wireless networks with diverse connectivity characteristics,P4HHC6oAAAAJ;9v2UD2QAAAAJ,X Tie;A Venkataramani,"/scholar?cites=5805728022828962418&as_sdt=2005&sciodt=0,5&hl=en"
Analysis of individual pair and aggregate intercontact times in heterogeneous opportunistic networks,sesKnygAAAAJ;KniFTD0AAAAJ,A Passarella;M Conti,"/scholar?cites=15263790702161270789&as_sdt=2005&sciodt=0,5&hl=en"
Throughput-delay tradeoffs in large-scale manets with network coding,dJgRKmwAAAAJ,Y Fang,"/scholar?cites=4966940157415846954&as_sdt=2005&sciodt=0,5&hl=en"
Motioncast: On the capacity and delay tradeoffs,QiGN63sAAAAJ;CT5yZbwAAAAJ;5bInRDEAAAAJ,C Hu;X Wang;F Wu,"/scholar?cites=3035751221533595522&as_sdt=2005&sciodt=0,5&hl=en"
Delque: A socially aware delegation query scheme in delay-tolerant networks,zK9tvo8AAAAJ;3sIHxrcAAAAJ,J Chen;P Wang,"/scholar?cites=7074455096034954373&as_sdt=2005&sciodt=0,5&hl=en"
On the dynamics of human proximity for data diffusion in ad-hoc networks,b8Wj9zIAAAAJ;5MeSMfAAAAAJ;qOv3StkAAAAJ;MjHBUkEAAAAJ,A Panisson;A Barrat;C Cattuto;W Van Den Broeck,"/scholar?cites=1256723933417337237&as_sdt=2005&sciodt=0,5&hl=en"
A survey of protocols for intermittently connected delay-tolerant wireless sensor networks,yBGwGbYAAAAJ;VgGq9i0AAAAJ,Y Li;R Bartos,"/scholar?cites=7211954614159374045&as_sdt=2005&sciodt=0,5&hl=en"
Tour: time-sensitive opportunistic utility-based routing in delay tolerant networks,BVlfmXMAAAAJ;zvCRWuUAAAAJ,J Wu;C Liu,"/scholar?cites=17140286407574113432&as_sdt=2005&sciodt=0,5&hl=en"
Content sharing over smartphone-based delay-tolerant networks,AURRRDIAAAAJ;5APW4zDlaesC;B3CtxsAAAAAJ,E Talipov;Y Chon;H Cha,"/scholar?cites=15178496000228951448&as_sdt=2005&sciodt=0,5&hl=en"
Impact of social networks on delay tolerant routing,wvvIyOwAAAAJ;0YgrjRAAAAAJ;2OJOZTUAAAAJ,E Bulut;Z Wang;BK Szymanski,"/scholar?cites=2661844790023021862&as_sdt=2005&sciodt=0,5&hl=en"
[PDF] [PDF]   E-drop: An effective drop buffer management policy for DTN routing protocols,4Y4anakAAAAJ;2GKyHNkAAAAJ,S Rashid;MSM Zahid,"/scholar?cites=7381101592695088345&as_sdt=2005&sciodt=0,5&hl=en"
Minimum-delay service provisioning in opportunistic networks,sesKnygAAAAJ;idH8IwYAAAAJ;KniFTD0AAAAJ,A Passarella;M Kumar;M Conti,"/scholar?cites=9530184174357948156&as_sdt=2005&sciodt=0,5&hl=en"
DTN routing strategies using optimal search patterns,82kpjR0AAAAJ;KudaOCcAAAAJ;eJ5nA0kAAAAJ,M Shin;S Hong;I Rhee,"/scholar?cites=5859814998655131964&as_sdt=2005&sciodt=0,5&hl=en"
Adaptive optimal buffer management policies for realistic DTN,kmgzPeQAAAAJ,Y Li,"/scholar?cites=8149589088432157244&as_sdt=2005&sciodt=0,5&hl=en"
Contention-aware performance analysis of mobility-assisted routing,Nir4aJAAAAAJ,K Psounis,"/scholar?cites=16634447224092982694&as_sdt=2005&sciodt=0,5&hl=en"
The effects of node cooperation level on routing performance in delay tolerant networks,a4SxZ1MAAAAJ;345-ILkAAAAJ,G Resta;P Santi,"/scholar?cites=13041190860606909965&as_sdt=2005&sciodt=0,5&hl=en"
Anti-localization anonymous routing for delay tolerant network,dcDrhzMAAAAJ;KIFPVWoAAAAJ,P Hui;D Towsley,"/scholar?cites=13839826092712754819&as_sdt=2005&sciodt=0,5&hl=en"
A cooperative cache-based content delivery framework for intermittently connected mobile ad hoc networks,8RYYICoAAAAJ,A Jamalipour,"/scholar?cites=15828677124790365985&as_sdt=2005&sciodt=0,5&hl=en"
An opportunistic batch bundle authentication scheme for energy constrained DTNs,_5lzNDUAAAAJ;om3xUIcAAAAJ;DeBXK0UAAAAJ;Bjl3GwoAAAAJ,H Zhu;X Lin;R Lu;X Shen,"/scholar?cites=14979119343953890379&as_sdt=2005&sciodt=0,5&hl=en"
Social-aware stateless routingin pocket switched networks,eCiUVHcAAAAJ;mi1S91sAAAAJ;345-ILkAAAAJ,A Mei;G Morabito;P Santi,"/scholar?cites=1059148521125769358&as_sdt=2005&sciodt=0,5&hl=en"
Exact throughput capacity under power control in mobile ad hoc networks,eBl025kAAAAJ;phdy0Y0AAAAJ,J Liu;H Nishiyama,"/scholar?cites=6518921634593413870&as_sdt=2005&sciodt=0,5&hl=en"
Toward trustworthy crowdsourcing in the social internet of things,PsRe_NYAAAAJ;QdXq7VsAAAAJ;Yycvf7YAAAAJ,K Wang;L Shu;D Deng,"/scholar?cites=17120018536437782797&as_sdt=2005&sciodt=0,5&hl=en"
Efficient multicasting for delay tolerant networks using graph indexing,ORzjqRsAAAAJ;XZV2eogAAAAJ;GZKO2WoAAAAJ,M Mongiovì;X Yan;B Zong,"/scholar?cites=5220617008958276768&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] [HTML]   A scalable data dissemination protocol for both highway and urban vehicular environments,coCDIj8AAAAJ;TB4RMh0AAAAJ,RS Schwartz;H Scholten,"/scholar?cites=17916592975919615693&as_sdt=2005&sciodt=0,5&hl=en"
Distributed estimation of global parameters in delay-tolerant networks,Pah4TJwAAAAJ;Vh8L6skAAAAJ;EYyOnEkAAAAJ,A Guerrieri;I Carreras;F De Pellegrini,"/scholar?cites=2327442404475287941&as_sdt=2005&sciodt=0,5&hl=en"
A performance comparison of delay-tolerant network routing protocols,V4FRuiMAAAAJ;ttUIYysAAAAJ,T Abdelkader;A Nayak,"/scholar?cites=2681676071401907026&as_sdt=2005&sciodt=0,5&hl=en"
Efficient data query in intermittently-connected mobile ad hoc social networks,klVrU7gAAAAJ;rFLksrwAAAAJ,Y Liu;H Wu,"/scholar?cites=15753014172009900896&as_sdt=2005&sciodt=0,5&hl=en"
Benefits of network coding for unicast application in disruption-tolerant networks,04rL02AAAAAJ;ajJxXnEAAAAJ;219_uIcAAAAJ;KIFPVWoAAAAJ,X Zhang;G Neglia;J Kurose;D Towsley,"/scholar?cites=12072332946904329786&as_sdt=2005&sciodt=0,5&hl=en"
An investigation on the unwillingness of nodes to participate in mobile delay tolerant network routing,QBpJIDgAAAAJ,SB Mokhtar,"/scholar?cites=12913191908266624550&as_sdt=2005&sciodt=0,5&hl=en"
Conditional shortest path routing in delay tolerant networks,wvvIyOwAAAAJ;ZPqZhnAAAAAJ;2OJOZTUAAAAJ,E Bulut;SC Geyik;BK Szymanski,"/scholar?cites=17882590074261997749&as_sdt=2005&sciodt=0,5&hl=en"
Generalized two-hop relay for flexible delay control in manets,eBl025kAAAAJ;phdy0Y0AAAAJ;LfLfZXEAAAAJ,J Liu;H Nishiyama;N Kato,"/scholar?cites=14392197754850609933&as_sdt=2005&sciodt=0,5&hl=en"
Enhanced buffer management policy that utilises message properties for delay-tolerant networks,,,"/scholar?cites=13214847578927667377&as_sdt=2005&sciodt=0,5&hl=en"
Effect of non-cooperative nodes in mobile DTNs,6hqFsvIAAAAJ;P4G4RsAAAAAJ,A Keränen;M Pitkänen,"/scholar?cites=7364571002528805877&as_sdt=2005&sciodt=0,5&hl=en"
The Internet of People (IoP): A new wave in pervasive mobile computing,KniFTD0AAAAJ;sesKnygAAAAJ;mbaG-mQAAAAJ,M Conti;A Passarella;SK Das,"/scholar?cites=3353987359849886418&as_sdt=2005&sciodt=0,5&hl=en"
A reliable and efficient encounter-based routing framework for delay/disruption tolerant networks,NX-NvbwAAAAJ;X0hu8rIAAAAJ;sx_8BTcAAAAJ,N Wang;Z Sun;H Cruickshank,"/scholar?cites=1334164829147418136&as_sdt=2005&sciodt=0,5&hl=en"
Experiments with wireless sensor networks for real-time athlete monitoring,,,"/scholar?cites=8857164654381940020&as_sdt=2005&sciodt=0,5&hl=en"
A DTN-based sensor data gathering for agricultural applications,KLkQIW8AAAAJ,H Ishizuka,"/scholar?cites=1261625576378597503&as_sdt=2005&sciodt=0,5&hl=en"
Ego network models for future internet social networking environments,sesKnygAAAAJ;VoBNag8AAAAJ;KniFTD0AAAAJ,A Passarella;RIM Dunbar;M Conti,"/scholar?cites=11954164294632255514&as_sdt=2005&sciodt=0,5&hl=en"
Hotspot-entropy based data forwarding in opportunistic social networks,GO4IiaQAAAAJ;A-vcjvUAAAAJ,P Yuan;H Ma,"/scholar?cites=14711767139051559983&as_sdt=2005&sciodt=0,5&hl=en"
Look-ahead routing and message scheduling in delay-tolerant networks,9JXSsgYAAAAJ,CT Huang,"/scholar?cites=17932232792904242674&as_sdt=2005&sciodt=0,5&hl=en"
A novel contact prediction‐based routing scheme for DTNs,iN2pY8AAAAAJ;fDgO1_AAAAAJ,L Zhang;X Wang,"/scholar?cites=8217395032898135641&as_sdt=2005&sciodt=0,5&hl=en"
Utility-based message replication for intermittently connected heterogeneous networks,WVLr6NYAAAAJ;Q7hXnU8AAAAJ,T Spyropoulos;T Turletti,"/scholar?cites=12722644951143312699&as_sdt=2005&sciodt=0,5&hl=en"
Performance modelling of opportunistic forwarding under heterogenous mobility,rCrzxbsAAAAJ;KniFTD0AAAAJ;sesKnygAAAAJ,C Boldrini;M Conti;A Passarella,"/scholar?cites=11727671378882267468&as_sdt=2005&sciodt=0,5&hl=en"
A storage-friendly routing scheme in intermittently connected mobile network,ZHS53jkAAAAJ,J Liu,"/scholar?cites=15808134896697761721&as_sdt=2005&sciodt=0,5&hl=en"
Aging rules: What does the past tell about the future in mobile ad-hoc networks?,MG_pq80AAAAJ,DY Eun,"/scholar?cites=7975080418308681973&as_sdt=2005&sciodt=0,5&hl=en"
A survey of routing protocols in wireless body area networks for healthcare applications,CEHDgt0AAAAJ;V6_5wpQAAAAJ,HB Elhadj;L Chaari,"/scholar?cites=3450009365387651610&as_sdt=2005&sciodt=0,5&hl=en"
Understanding the effects of social selfishness on the performance of heterogeneous opportunistic networks,OWCsHVoAAAAJ;WVLr6NYAAAAJ,P Sermpezis;T Spyropoulos,"/scholar?cites=12812925195152111832&as_sdt=2005&sciodt=0,5&hl=en"
To lie or to comply: Defending against flood attacks in disruption tolerant networks,bRTsPsEAAAAJ;jPKDQwgAAAAJ;5qwfn20AAAAJ;zD5ZfacAAAAJ,Q Li;W Gao;S Zhu;G Cao,"/scholar?cites=14076271735039489631&as_sdt=2005&sciodt=0,5&hl=en"
Efficient quality-of-service (QoS) support in mobile opportunistic networks,klVrU7gAAAAJ;rFLksrwAAAAJ,Y Liu;H Wu,"/scholar?cites=11836910872676645063&as_sdt=2005&sciodt=0,5&hl=en"
Modelling social-aware forwarding in opportunistic networks,rCrzxbsAAAAJ;KniFTD0AAAAJ;sesKnygAAAAJ,C Boldrini;M Conti;A Passarella,"/scholar?cites=10116689240209036609&as_sdt=2005&sciodt=0,5&hl=en"
Integrated routing protocol for opportunistic networks,PK_vW7IAAAAJ;ZlScsqMAAAAJ,A Verma;D Srivastava,"/scholar?cites=2544410498477770468&as_sdt=2005&sciodt=0,5&hl=en"
Optimal online data dissemination for resource constrained mobile opportunistic networks,klVrU7gAAAAJ;rFLksrwAAAAJ;HtedN3oAAAAJ;ouPBv-wAAAAJ,Y Liu;H Wu;Y Xia;Y Wang,"/scholar?cites=16109392718030015863&as_sdt=2005&sciodt=0,5&hl=en"
Optimal monotone forwarding policies in delay tolerant mobile ad hoc networks with multiple classes of nodes,EYyOnEkAAAAJ;pEfJPS0AAAAJ,F De Pellegrini;E Altman,"/scholar?cites=2839284071005077114&as_sdt=2005&sciodt=0,5&hl=en"
Analysis of latency of stateless opportunistic forwarding in intermittently connected networks,RBHNdYkAAAAJ;rAT2ab0AAAAJ,CK Chau;P Basu,"/scholar?cites=2693764485163876931&as_sdt=2005&sciodt=0,5&hl=en"
Reliable bulk-data dissemination in delay tolerant networks,WhB_EWgAAAAJ;Ib-sizwAAAAJ;KMyoX68AAAAJ,D Zeng;S Guo;J Hu,"/scholar?cites=9412154725928485600&as_sdt=2005&sciodt=0,5&hl=en"
WLAN-Opp: Ad-hoc-less opportunistic networking on smartphones,SDSkJD8AAAAJ;wYJHLNgAAAAJ;CB7dUsIAAAAJ,S Trifunovic;M Kurant;KA Hummel,"/scholar?cites=16681624825366587625&as_sdt=2005&sciodt=0,5&hl=en"
