Title,Authors,Conference,Cited_urls,Cited_count,Year
An approximate analysis of the join the shortest queue (JSQ) policy,"HC Lin, CS Raghavendra","IEEE Transactions on Parallel and Distributed Systems 7 (3), 301-307",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=515910897865446075,44,1996
A Framework for Network Vulnerability Analysis.,"G Qu, J Rudraraju, R Modukuri, S Hariri, CS Raghavendra","Communications, Internet, and Information Technology, 289-294",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10812446066516030309,42,2002
Optimal loop topologies for distributed systems,"CS Raghavendra, M Gerla","ACM SIGCOMM Computer Communication Review 11 (4), 218-223",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5178951082970726680,41,1981
Reliability optimization in the design of distributed systems,"CS Raghavendra, S Hariri","IEEE Transactions on software engineering, 1184-1193",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8612084999651854967,40,1985
Optimal self-routing of linear-complement permutations in hypercubes,"R Boppana, CS Raghavendra","Proceedings of the 5th Distributed Memory Conference, 800-808",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16415045415112851774,37,1990
A programmable routing framework for autonomic sensor networks,"Y He, CS Raghavendra, S Berson, B Braden","2003 Autonomic Computing Workshop, 60-68",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6352571411246758477,33,2003
Free dimensions-an effective approach to achieving fault tolerance in hypercubes,"CS Raghavendra, PJ Yang, SB Tien","IEEE Transactions on Computers 44 (9), 1152-1157",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5127723891376058503,31,1995
Reliability modeling and analysis of computer networks,"CS Raghavendra, SV Makam","IEEE transactions on reliability 35 (2), 156-160",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3221864301746604103,31,1986
Reliability Analysis in Distributed Systems.,"SA Hariri, CS Raghavendra, VKP Kumar","Proceedings-International Conference on Distributed Computing Systems, 564-571","https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16654904811203645404,17606452199316263967",30,1986
Double loop network architectures-A performance study,"C Raghavendra, J Silvester","IEEE transactions on communications 33 (2), 185-187",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4255652362803951443,30,1985
Distributed Functions Allocation for Reliability and Delay Optimization.,"SA Hariri, CS Raghavendra","Unknown Host Publication Title, 344-352",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2687156353074779707,28,1986
Active packets improve dynamic source routing for ad-hoc networks,"Y He, CS Raghavendra, S Berson, B Braden",Proc. IEEE Conference on Open Architectures and Network Programming …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18180043862152553490,27,2002
VLSI implementation of fault-tolerant systolic arrays,JH Hwang,"Proc. Int. Conf. on Computer Design, 110-113",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16083201761955640068,27,1986
Performance Analysis of a Redundant-Path Interconnection Network.,"A Varma, CS Raghavendra","ICPP, 474-479",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11507313450291397960,27,1985
Perfusion neuroimaging abnormalities alone distinguish National Football League players from a healthy population,"DG Amen, K Willeumier, B Omalu, A Newberg, C Raghavendra, CA Raji","Journal of Alzheimer's Disease 53 (1), 237-241",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18396815284717147189,26,2016
Token based congestion control for DTNs,"E Coe, C Raghavendra","2010 IEEE Aerospace Conference, 1-7",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16039690825281941513,26,2010
An energy efficient adaptive distributed source coding scheme in wireless sensor networks,"C Tang, CS Raghavendra, VK Prasanna","IEEE International Conference on Communications, 2003. ICC'03. 1, 732-737",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14458924956050245300,26,2003
Energy-efficient broadcasting in wireless ad hoc networks lower bounds and algorithms,"F Bian, A Goel, CS Raghavendra, X Li","Journal of interconnection networks 3 (03n04), 149-166",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=2923617244228558357,26,2002
Global model for failure prediction for artificial lift systems,"Y Liu, KT Yao, CS Raghavendra, A Wu, D Guo, J Zheng, L Olabinjo, ...","US Patent 9,292,799",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14587380428457632117,25,2016
Efficient broadcasting in delay tolerant networks,"A Goundan, E Coe, C Raghavendra","IEEE GLOBECOM 2008-2008 IEEE Global Telecommunications Conference, 1-5",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16334030551130966259,25,2008
