Title,Authors,Conference,Cited_urls,Cited_count,Year
Node Disjoint Split Multipath Multicast Ad-hoc On-demand Distance Vector Routing Protocol (NDSM-MAODV),"M Nagaratna, C Raghavendra, VK Prasad","International Journal of Computer Applications 26 (10), 1-12",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8563037029457548088,2,2011
Efficient QOS aware routing in wireless sensor using six sigma.,"S Ramesh, PG Kumar, E Kuiper, S Nadjm-Tehrani, T Spyropoulos, ...","Asian Journal of Scientific Research 6 (4), 592-604",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8695593102256619684,2,2011
AC 2008-492: SUMMER RESEARCH PROGRAM FOR MEANINGFUL INTERNATIONAL EXPERIENCE,C Raghavendra,"age 13, 1",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17901260096611232444,2,2008
The Women in Science and Engineering (WISE) Program at the University of Southern California: Achievements and Challanges of the First Five Years,"N Hawkes, J Morrison, C Raghavendra",ASEE Annual Conference Proceedings,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4447544583964663643,2,2007
Providing power awareness to wireless microsensor networks using tripwires,"C Tang, CS Raghavendra",Proceedings of the IEEE 6th Circuits and Systems Symposium on Emerging …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1219833593273433188,2,2004
Analysis of UDP performance enhancement proxies for mobile users,"E Coe, J Stepanek, C Raghavendra",2003 IEEE 58th Vehicular Technology Conference. VTC 2003-Fall (IEEE Cat. No …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3409586219791895175,2,2003
A rate-adaptive power control scheme for wireless microsensor networks,"C Tang, CS RAGHAVENDRA","Mobile And Wireless Communications Networks: (With CD-ROM), 105-108",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9308853732288377205,2,2003
Collaborative and distributed computation in mesh-like sensor arrays,"M Singh, VK Prasanna, J Rolim, CS Raghavendra",IN THE IFIP-TC6 8TH INTERNATIONAL CONFERENCE ON PERSONAL WIRELESS …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6133586213755800046,2,2003
An Adaptive Communication System for Heterogeneous Network Computing.,"I Ra, S Hariri, CS Raghavendra","IPDPS, 88",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8508635220869674671,2,2001
Semi-automatic generation of parallelizable patterns from source code examples,"D Markovic, JR Hagemeister, CS Raghavendra, S Bhansali",Proceedings Fifth International Workshop on Program Comprehension. IWPC'97 …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4722037605791176627,2,1997
Admission Control in ATM Networks using Fuzzy-ARTMAP,"I Mahadevan, CS Raghavendra",Proceedings of the International Workshop on Applications of Neural Networks …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6895950352853214169,2,1997
ADDT: automatic data distribution tool for porting programs to PVM,"H Sivaraman, CS Raghavendra",Proceedings of HICSS-29: 29th Hawaii International Conference on System …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1409113063444583160,2,1996
Parallel implementation of ray-tracing algorithm on the Intel Delta parallel computer,"TY Lee, CS Raghavendra, JB Nicholas","Proceedings of 9th International Parallel Processing Symposium, 688-692",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6497460781470707365,2,1995
Jitter at an ATM multiplexer in the presence of correlated sources,"R Krishnan, JA Silvester, CS Raghavendra",Proceedings International Phoenix Conference on Computers and Communications …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4538088559772204989,2,1995
On porting sequential programs to parallel machines,"CS Raghavendra, S Bhansali",Proceedings Eighteenth Annual International Computer Software and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18172751428546513324,2,1994
Adaptive packet-routing algorithms for k-ary n-cubes,"RV Boppana, S Chalasani, CS Raghavendra","Division of Mathematics, Computer Science, and Statistics, the University of …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17315484062062822047,2,1992
Reliability evaluation of fault-tolerant computers for aerospace applications,"C Raghavendra, D Lee","7th Computers in Aerospace Conference, 3127",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14758172540705828713,2,1989
Minimum spanning tree on the HMESH architecture,"RV Boppana, CS Raghavendra","Proceedings., 2nd Symposium on the Frontiers of Massively Parallel …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11821101646714392375,2,1988
Reliability and fault-tolerance in multistage interconnection networks,"CS Raghavendra, A Varma","Sadhana 11 (1-2), 111",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15169800459787021611,2,1987
Fault-Tolerant Routing of Permutations in Extra-Stage Networks.,"A Varma, CS Raghavendra","ICDCS, 54-61",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15547727182087960938,2,1986
On Minimizing the Completion Times of Long Flows over Inter-Datacenter WAN,"M Noormohammadpour, A Srivastava, CS Raghavendra","IEEE Communications Letters 22 (12), 2475-2478",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16664762927633103862,1,2018
Minimizing flow completion times using adaptive routing over inter-datacenter wide area networks,"M Noormohammadpour, CS Raghavendra",IEEE INFOCOM 2018-IEEE Conference on Computer Communications Workshops …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10923292491898857324,1,2018
Fast learning of approximation policies for coordination in distributed networks,"S Liu, A Panangadan, CS Raghavendra, AM Madni","2014 World Automation Congress (WAC), 285-290",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12352414422651633845,1,2014
COORDINATED SENSING OF NETWORKED BODY SENSORS USING MARKOV DECISION PROCESSES,"A Panangadan, S Liu, A Talukder, CS Raghavendra","Applied Artificial Intelligence 27 (2), 126-150",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16340523704289819745,1,2013
Tree free utility based multicast in DTNs,"A Goundan, E Coe, C Raghavendra","2010 IEEE Aerospace Conference, 1-7",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14026065591034544015,1,2010
PEGASIS: Power efficient gathering in sensor information systems.,"N Tuah, M Ismail, K Jumari, MS Ali, T Dey, R Biswas, AA Abbasi, ...","Journal of Applied Sciences 12 (13), pp: 909-914",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6084976260380008598,1,2008
Distributed Signal Processing in Wireless Sensor Networks,"CS Raghavendra, VK Prasanna",UNIVERSITY OF SOUTHERN CALIFORNIA LOS ANGELES DEPT OF ELECTRICAL ENGINEERING,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1547028813069514501,1,2005
MAC-Physical Layer Interaction for Efficient Communication in Wireless Networks,"T Spyropoulos, CS Raghavendra",Invited Paper for PIMRC,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6995273473932603440,1,2005
IMPROVING THE PERFORMANCE OF IEEE 802.11 IN WIRELESS MULTI-HOP NETWORKS,"G LU, CS RAGHAVENDRA","Mobile And Wireless Communications Networks: (With CD-ROM), 41-44",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6344946351652428730,1,2003
Topology control of multihop wireless networks using transmit power adjustment.,"H Gao, B Wang, X Hu, W Xiong, IF Akyildiz, W Su, ...","Information Technology Journal 11 (8), 393-422",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6679894990314360872,1,2002
Using multiple space assests with In-situ measurements to track flooding in Thailand.,"S Chien, J Doubleday, D Mclaren, D Tran, C Khunboa, W Leelapatra, ...","Pasadena, CA: Jet Propulsion Laboratory, National Aeronautics and Space …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5598472795508620483,1,2001
The Ninth Workshop on Heterogeneous Computing: HCW 2000,"HJ Siegel, CS Raghavendra",PURDUE UNIV LAFAYETTE IN SCHOOL OF ELECTRICAL AND COMPUTER ENGINERING,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11066737503171437564,1,2000
Energy-efficient clustering routing algorithm based weight and fitness for WSN.,"XG Qiao, HQ Wang, SB Gao, Z Wang, GJ Pottie, WJ Kaiser, ...","Journal of Applied Sciences 13 (22), 51-58",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=10756708619712950883,1,2000
Improved algorithms for computing with faulty SIMD hypercubes,"CS Raghavendra, MA Sridhar","Telecommunication Systems 10 (1-2), 149-156",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17227594537904618887,1,1998
Modelling and analyses of dynamic load-balancing policies by state aggregation,"HC Lin, CS Raghavendra","International Journal of Modelling and Simulation 17 (1), 20-28",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15080367998713990048,1,1997
Parallel processing for graphics rendering on distributed memory multicomputers,"TY Lee, CS Raghavendra",Washington State University,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14515121632505796797,1,1995
Addt: Automatic data distribution tool for porting programs to distributed memory machines,"H Sivaraman, CS Raghavendra","Workshop on Automatic Data Layout and Performance Prediction, CRPC",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9796680786105304460,1,1995
Visualization of parallel molecular dynamics simulation on a remote visualization platform,"TY Lee, CS Raghavendra, JB Nicholas","Pacific Northwest Lab., Richland, WA (United States)",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4087419196746213055,1,1994
A comparison of adaptive packet-routing algorithms for tori,"RV Boppana, S Chalasani, CS Raghavendra","Proceedings of Phoenix Conference on Computers and Communications, 120-126",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5664050563169881964,1,1993
A Two Phase Multicast Routing Algorithm in Self-Routing Multistage Networks,"CS Raghavendra, X Chen, VP Kumar","IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS 1 (3), 1612-1612",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=7916304483928180156,1,1993
Dynamic Load Balancing for Distributed Systems in Real-Time Environment,"HC Lin, CS Raghavendra","Computer Science and Informatics 23, 19-19",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11532310403635739861,1,1993
Design for reliability of telecommunication systems and services guest editors' prolog,"A Reibman, CS Raghavendra","IEEE transactions on reliability 40 (4), 402-403",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15854367504401274356,1,1991
Fault tolerance and testing aspects of an architecture for a generalized sidelobe cancellor,"MA Breuer, A Majumdar, CS Raghavendra","Proceedings 1988 IEEE International Conference on Computer Design: VLSI, 514-519",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1594372383884701740,1,1988
Optimal joint load balancing and routing in message switched computer networks,"HC Lin, JR Yee, CS Raghavendra","IEEE INFOCOM'88, Seventh Annual Joint Conference of the IEEE Computer and …",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17307143636549819358,1,1988
On methods for fast and eﬁicient parallel memory access,"CS Raghavendra, R Boppana","Proc. of the 1990 International Conference on Parallel Processing 1, 76",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6215416073617463115,1,
Auction-sc–an auction-based framework for real-time task assignment in spatial crowdsourcing,"M Asghari, C Shahabi, L Fan, S Rallapalli, H Qiu, A Bency, S Karthikeyan, ...","Resource 12, 928",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=12856849564257595622,1,
Coordinated Sampling in Communication Constrained Sensor Networks using Markov Decision Processes,"SLAPA Talukder, CS Raghavendra",,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=16196341613378298045,1,
PAMAS-Power Awa. re hhlti-Access protocol with Signal-ing in,"CS Raghavendra, S Singh","4d Hoc Networks, 5-26",https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6588674507505173244,1,
Optimizing Inter-Datacenter Tail Flow Completion Times using Best Worst-case Routing,"M Noormohammadpour, A Srivastava, CS Raghavendra",arXiv preprint arXiv:1908.09070,,,2019
Fast and Efficient Bulk Multicasting over Dedicated Inter-Datacenter Networks,"M Noormohammadpour, CS Raghavendra, S Kandula, S Rao",arXiv preprint arXiv:1812.06553,,,2018
List of several SDN switches that support Group Table ALL feature,"M Noormohammadpour, CS Raghavendra",OSF Preprints,,,2018
Autoencoder-derived features as inputs to classification algorithms for predicting failures,"JJ Liu, A Jaiswal, KT Yao, CS Raghavendra","US Patent App. 15/496,995",,,2017
Efficient minimum spanning tree construction without Delaunay triangulation,"P Kuila, PK Jana, IF Akyildiz, MC Vuran, IF Akyildiz, S Weilian, ...",Clustering and Routing Algorithms for Wireless Sensor Networks: Energy …,,,2017
Building confidence in the reliability assessment of thermal-hydraulic passive systems,"H Fazlollahtabar, STA Niaki, A Abo Al-Kheer, A El-Hami, MG Kharmanda, ...","Reliability Models of Complex Systems for Robots and Automation 48 (1), vii-ix",,,2017
MARKOV DECISION PROCESS FOR ADAPTIVE CONTROL OF DISTRIBUTED BODY SENSOR NETWORKS,"S Liu, A Panangadan, A Talukder, CS Raghavendra",Wireless Computing in Medicine: From Nano to Cloud with Ethical and Legal …,,,2016
Optimizing Link Sleeping Reconfigurations in ISP Networks with Off-Peak Time Failure Protection,"SY Hui, KH Yeung, E Gustafsson, A Jonsson, IF Akyildiz, S Mohanty, J Xie, ...","Wireless Multimedia Communication Systems: Design, Analysis, and …",,,2014
Single and Multiple Frame Video Traffic Pre,C Raghavendra,"Computer Networks, Architecture and Applications: Proceedings of the IFIP …",,,2013
Bounding the lifetime of sensor networks via optimal role assignments.,"TA Alghamdi, A Ahmad, K Latif, N Javaid, A Khan, U Qasim, A Ahmad, ...","Trends in Applied Sciences Research 11 (1), pp: 1-4",,,2013
Active Middleware Services: From the Proceedings of the 2nd Annual Workshop on Active Middleware Services,"S Hariri, CA Lee, CS Raghavendra",Springer Science & Business Media,,,2012
An analytical model of a discrete-time polling MAC protocol for wireless LANs using M-gated services.,"C Qing, D Hong-Wei, L Qian-Lin, Y Zhi-Jun, ADS Clemente, ...","Information Technology Journal 12 (22), 15009-15035",,,2012
Data gathering algorithms in sensor networks using energy metrics.,"H Li, Q Xiong, W Shi, H Chen, M Du, Y Ran, N Tuah, M Ismail, K Jumari, ...","Information Technology Journal 13 (1), 1332-1344",,,2012
A cluster-based routing protocol for wireless sensor networks with nonuniform node distribution.,"N Nokhanji, ZM Hanapi, S Subramaniam, MA Mohamed, HW Ferng, ...","Journal of Applied Sciences 14 (8), 347-367",,,2012
PEGASIS: Power efficient gathering in sensor information systems.,"A P. Abidoye, N A. Azeez, A O. Adesina, K K. Agbele, AP Abidoye, ...","Research Journal of Information Technology 4 (4), 191-200",,,2011
Wireless integrated network sensors.,"M Essam Khedr, AK Mahmoud, C Li, H Zhang, B Hao, J Li, C Hua, ...","Journal of Applied Sciences 12 (19), 3498-3526",,,2011
An energy efficient data collection in sensor networks is proposed.,"Z Chen, Y He, W Yang, J Cheng, HB Jiang, XQ Ma, LC Liu, LJ Qian, ...","Journal of Applied Sciences 13 (22), pp: 1-5",,,2010
Power control in wireless sensor network based on nearest neighbor algorithm.,"Y Lu, F Chen, Y Chen, N Xu, CG Cassandras, J Wang, I Howitt, ...","Information Technology Journal 12 (1), pp: 3757-3762",,,2009
AC 2009-1805: A FULLY INTERDISCIPLINARY APPROACH TO CAPSTONE DESIGN COURSES,"M Redekopp, C Raghavendra","age 14, 1",,,2009
Lifetime optimized algorithm with mobile sink node in wireless sensor networks.,"Y Chen, Y Liu, Y Zhou, J Yick, B Mukherjee, D Ghosal, S Lindsey, ...","Information Technology Journal 12 (4), 2292-2330",,,2008
Efficient QOS aware routing in wireless sensor using six sigma.,"S Ramesh, PG Kumar, D Cokuslu, K Erciyes, T Spyropoulos, K Psounis, ...","Journal of Artificial Intelligence 6 (2), pp: 1-5",,,2008
Problem Solving Theory and applications: Quotient Space Granular Computing Theory and Applications.,"X Jianfeng, L Yu, A Mahmood, S Khatoon, Z Yuanjian, X Yuan, AA Abbasi, ...","Information Technology Journal 13 (15), 2826-2841",,,2007
An energy-balancing unequal clustering protocol for wireless sensor networks.,"M Senthil, V Rajamani, GR Kanagachidambaresan, AA Abbasi, M Younis, ...","Information Technology Journal 13 (4), 2826-2841",,,2007
A routing-based dynamic workflow.,"H Li, FX Yu, X Zhou, H Luo, EPC Jones, L Li, JK Schmidtke, PAS Ward, ...","Information Technology Journal 9 (8), 943-959",,,2007
Classical and swarm intelligence based routing protocols for wireless sensor networks: A survey and comparison.,"N Nokhanji, ZM Hanapi, AA Abbasi, M Younis, IF Akyildiz, W Su, ...","Journal of Applied Sciences 14 (18), 2826-2841",,,2007
AC 2007-1145: THE WOMEN IN SCIENCE AND ENGINEERING (WISE) PROGRAM AT THE UNIVERSITY OF SOUTHERN CALIFORNIA: ACHIEVEMENTS AND CHALLENGES OF THE FIRST FIVE YEARS,"J Morrison, C Raghavendra","age 12, 1",,,2007
COMPRESSION TECHNIQUES FOR,"C Tang, CS Raghavendra","Wireless Sensor Networks, 207",,,2006
Performance Analysis of Mobility-assisted Routing,"K Psounis, CS Raghavendra",,,,2006
Aerospace Technical Support for DARPA Network Modeling and Simulation Program and Cognitive Networks,C Raghavendra,CALIFORNIA UNIV LOS ANGELES DEPT OF CONTRACTS AND GRANTS,,,2005
Model-Based Integrated Simulation (MILAN),"VK Prasanna, CS Raghavendra, A Ledeczi",UNIVERSITY OF SOUTHERN CALIFORNIA LOS ANGELES,,,2005
Wireless sensor networks-[Book Review],"CS Raghavendra, KM Sivalingam, T Znati","Communications Engineer 2 (6), 46-47",,,2005
"Guest editorial: algorithmic solutions for wireless, mobile, ad hoc and sensor networks","A Bar-Noy, AA Bertossi, CM Pinotti, CS Raghavendra","Mobile Networks and Applications 10 (1-2), 7-8",,,2005
"HEED: A hybrid, energy-efficient, distributed clustering approach for ad hoc sensor networks.","G Xin, W HuaYang, B DeGang, K Akkaya, M Younis, IF Akyildiz, W Su, ...","Information Technology Journal 7 (2), 325-349",,,2005
Distributed clustering using wireless sensor networks.,"NA Babu, R Kumar, N Ahmed, SS Kanhere, S Jha, CKS Kumar, ...","Research Journal of Information Technology 6 (4), 4-18",,,2005
Two novel swarm intelligence clustering analysis methods.,"Z Wu, Y Nie, S Chen, H Zhang, L Wang, JN Al-Karaki, AE Kamal, ...","Information Technology Journal 11 (12), 6-28",,,2004
Routing and channel assignment for low power transmission in PCS.,"M Lakshmi, P Braun, DB Johnson, DA Maltz, I Ho, G Parr, A Marshall, ...","Information Technology Journal 5 (5), 153-181",,,2004
Lifetime maximization through dynamic ring-based routing scheme for correlated data collecting in WSNs.,"K Peng, R Cristescu, B Beferull-Lozano, M Vetterli, K Akkaya, M Younis, ...","Journal of Software Engineering 11 (1), pp: 2571-2582",,,2004
On-demand power management for ad hoc networks.,"JH Youn, C Kang, P Bergamo, A Giovanardi, A Travasoni, D Maniezzo, ...","Information Technology Journal 7 (2), 29-42",,,2004
A short look on power saving mechamisms in the wireless LAN standard draft IEEE 802.11.,"MV Subramanyam, L Bao, JJ Garcia-Luna-Aceves, DM Blough, ...","Information Technology Journal 5 (5), pp: 129-140",,,2003
Featured Section on Wireless Sensor Networks,"T Znati, C Raghavendra, K Sivalingam",Kluwer,,,2003
GC01. 4 Wavelet Based Source Broadcasting for In-network Processing in Sensor Networks with Unknown Side-Information,"C Tang, CS Raghavendra","GLOBECOM-NEW YORK- 1 (1), 16-20",,,2003
Workshop Introduction,"M Kumar, CS Raghavendra",Proceedings of the 16th International Parallel and Distributed Processing …,,,2002
HCEP: A hybrid cluster-based energy-efficient protocol for wireless sensor networks.,"W Wang, B Wang, Z Liu, L Guo, W Xiong, IF Akyildiz, W Su, ...","Information Technology Journal 10 (3), 393-422",,,2002
Grid coverage for surveillance and target location in distributed sensor networks.,"A Ur-Rahman, H Hasbullah, O U. Khan, B Chen, K Jamieson, ...","Research Journal of Information Technology 3 (3), 481-494",,,2002
PEGASIS: Power efficient gathering in sensor information systems.,"CB Thangammal, P Rangarajan, JRP Perinbam, IF Akyildiz, W Su, ...","Asian Journal of Scientific Research 5 (3), 102-114",,,2002
A cluster-based and tree-based power efficient data collection and aggregation protocol for wireless sensor networks.,"W Wang, Z Liu, X Hu, B Wang, L Guo, W Xiong, C Gao, IF Akyildiz, W Su, ...","Research Journal of Information Technology 3 (2), 393-422",,,2002
REACA: An efficient protocol architecture for large scale sensor networks.,"Y Wang, T . LX Yang, D Zhang, IF Akyildiz, W Su, Y Sankarasubramaniam, ...","Information Technology Journal 8 (1), 102-114",,,2002
An energy-balancing unequal clustering protocol for wireless sensor networks.,"M Senthil, V Rajamani, GR Kanagachidambaresan, IF Akyildiz, W Su, ...","Journal of Artificial Intelligence 7 (1), 393-422",,,2002
Periodicity-based anomalies in self-similar network traffic flow measurements.,"R Yan, Y Wang, H Kettani, JA Gubner, W Leland, M Taqqu, W Willinger, ...","Information Technology Journal 11 (2), pp: 160-165",,,2002
Data dissemination with ring-based index for wireless sensor networks.,"C Gao, B Wang, X Hu, Z Li, H Gao, IF Akyildiz, W Su, ...","Information Technology Journal 10 (10), 102-114",,,2002
A dynamic clustering-based routing algorithm for wireless senor networks.,"AP Abidoye, NA Azeez, AO Adesina, KK Agbele, IF Akyildiz, W Su, ...","Research Journal of Information Technology 3 (3), 102-114",,,2002
"Proceedings of the First ACM Internatinal Workshop on Wireless Sensor Networks & Applications: Atlanta, Georgia, USA, September 28, 2002",CS Raghavendra,ACM Press,,,2002
The cougar approach to in-network query processing in sensor networks.,"W Wang, B Wang, Z Liu, L Guo, A Manjeshwar, DP Agrawal, A Sengupta, ...","Information Technology Journal 10 (1), pp: 30189-30189",,,2001
PAMAS-power aware multi-access protocol with signaling for Ad Hoc networks.,"ZM Alfawaer, L Bononi, M Conti, L Donatiello, T Elbatt, A Ephremides, ...","Journal of Applied Sciences 7 (17), 211-222",,,2001
Invited Session: Advances and Research Challenges in Networking-Intelligent Traffic Engineering of Internets: Towards a Model-Based Approach,"CS Raghavendra, A Kumar","Lecture Notes in Computer Science 2228, 414-424",,,2001
Time Management in Virtual Worlds,"C Lee, J Stepanek, C Raghavendra, K Bellman, C Landauer","SIMULATION SERIES 33 (2), 244-249",,,2001
Heterogeneous Computing Workshop (HCW 2000),"VK Prasanna, CS Raghavendra",Proceedings of the 15 IPDPS 2000 Workshops on Parallel and Distributed …,,,2000
9th Heterogeneous Computing Workshop (HCW 2000),"CS Raghavendra, VK Prasanna","International Parallel and Distributed Processing Symposium, 1301-1305",,,2000
Delay management in delay-tolerant networks.,"S Chen, M Yin, A Vahdat, D Becker, A Keranen, J Ott, A Balasubramanian, ...","Information Technology Journal 12 (22), pp: 373-384",,,2000
Communication and coordination in wireless sensor and actor networks.,"Z Dai, Z Li, B Wang, Q Tang, IF Akyildiz, S Weilian, ...","Information Technology Journal 8 (7), 51-58",,,2000
Multipath minimum energy routing in ad hoc network.,"MN Huda, F Yasmeen, E Kamioka, S Yamada, S Agarwal, A Ahija, ...","Information Technology Journal 6 (7), pp: 1697-1701",,,2000
E cient collective communication in distributed heterogeneous systems,"PB Bhat, CS Raghavendra, V Prasanna","IEEE International Conference on Distributed Computing Systems, 15-24",,,1999
Maximum battery life routing to support ubiquitous mobile computing in wireless ad hoc networks.,"MA Bhagyaveni, EM Royer, CK Toh, CE Perkins, S Radha, ...","Information Technology Journal 4 (1), 46-55",,,1999
"Article ID jpdc. 1999.1609, available online at http: ย ย www. idealibrary. com on","I Ahmad, I Ahmad, S Ali, A Banerjee, PB Bhat, L Buttner, ST Chanson, ...","Journal of Parallel and Distributed Computing 59, 489",,,1999
Cluster Computing–Editorial Organization,"S Hariri, CS Raghavendra","Cluster Computing 1 (1), 3-9",,,1998
Admission Control and Routing Algorithms for ATM Networks,CS Raghavendra,WASHINGTON STATE UNIV PULLMAN WA SCHOOL OF ELECTRICAL ENGINEERING AND …,,,1998
Span: An energy-efficient coordination algorithm for topology maintenance in Ad Hoc wireless networks.,"V Mahesh, V Rodoplu, TH Meng, S Singh, CS Raghavendra, CE Perkins, ...","Information Technology Journal 5 (6), pp: 1633-1639",,,1998
Internet Services over a Direct Broadcast Satellite Network: Challenges and Opportunities,"C DeMatteis, M O'Brien, J Stepanek, S Michel, C Raghavendra, ...",NASA,,,1998
Optical crossbar networks,"AA Sawchuk, BK Jenkins, CS Raghavendra, A Varma","SPIE MILESTONE SERIES MS 142, 110-120",,,1997
Load balancing strategies for ray tracing on parallel processors,"TY Lee, CS Raghavendra, JB Nicholas","Integrated Computer-Aided Engineering 4 (4), 260-275",,,1997
"Bader, David A., 173 Barnard, David T., 2 Barnett, Mike, 111 Belford, Geneva G., 35","F Berman, YS Chen, KL Chung, G Clarke, N Das, J Dattagupta, K Efe, ...","Journal of Parallel and Distributed Computing 35, 219",,,1996
"Gupta, SKS, 137","CH Huang, RL Hyde, OH Ibarra, RW Johnson, T Leighton, JYT Leung, ...","Journal of Parallel and Distributed Computing 34, 234",,,1996
HIGH-PERFORMANCE DISTRIBUTED COMPUTING,CS Raghavendra,"Concurrency-Practice and Experience 6 (4), 231-233",,,1994
Uniform Minimal Full-Access Networks,CS Raghavendra,Interconnection networks for multiprocessors and multicomputers: theory and …,,,1994
"Gigabit revolution transcends the megabit revolution, says symposium keynoter","CS Raghavendra, S Hariri","Computer 26 (12), 75-75",,,1993
Broadcasting in faulty simd hypercubes,CS RAGHAVENDRA,Proc. IEEE Symposium on Parallel and Distributed Processing (SPDP'92),,,1992
Operation on Hypercubesl,"RV Boppana, CS Raghavendra",,,,1990
SESSION 6C. Compilers II (R): Maintaining Scalable Checkpoints on Hypercubes 11-98 C.-CJ Li and WK Fuchs (R): Issues in the Optimization of Parallel Programs 11-105,"SP Midkiff, DA Padua, KC Kim, A Nicolau, LS Liu, CW Ho, JP Sheu, V Lo, ...",Parallel Processing 1,,,1990
"SESSION ID. Sorting and Searching (R): An Efficient Sorting Algorithm for the Star Graph Interconnection Network Ill-1 A. Mcnn, and AK Somani (R): Searching Game Trees in …","I Steinberg, M Solomon, SR Huang, LS Davis, PJ Varman, BR Iyer, ...",Parallel Processing 1,,,1990
Research in Optical Interconnection Techniques.,"AA Sawchuk, BK Jenkins, CS Raghavendra",UNIVERSITY OF SOUTHERN CALIFORNIA LOS ANGELES SIGNAL AND IMAGE PROCESSING INST,,,1989
Queueing analysis in dynamic distributed real-time systems,"GM Chiu, CS Raghavendra","[1989] Proceedings. EUROMICRO Workshop on Real Time, 162-166",,,1989
On Dynamic Full Access in Multistage Interconnection Networks.,"CS Raghavendra, MA Sridhar","Reliability Of Computer And Communication Networks, 229-244",,,1989
"Research in optical interconnection techniques(Final Report, 1 May 1984-31 Mar. 1989)","A SAWCHUK, BK JENKINS, CS RAGHAVENDRA",,,,1989
The POTATO chip architecture: a study in tradeoffs for signal processing chip design,"B Sharma, R Jain, MA Breuer, AC Parker, C Raghavendra, CY Tseng","Proceedings 1988 IEEE International Conference on Computer Design: VLSI, 508-513",,,1988
50 Optical Crossbar Networks,"AA Sawchuk, BK Jenkins, CS Raghavendra, A Varma, DA Reed, ...",,,,1987
IN EXTRA-STAGE NETWORKS,"A Varma, CS Raghavendra","The 6th International Conference on Distributed Computing Systems, Cambridge …",,,1986
"ATALLAH, MIKHAU. J., 492","A BARAK, JC BERMOND, L BIG, GD BUZZARD, S CERI, MC CHEN, ...","Journal of Parallel and Distributed Computing 3, 600-601",,,1986
RELIABILITY MEASURES,"S Hariri, CS Raghavendra, VKP Kumar","International Symposium on New Directions in Computing, August 12-14, 1985 …",,,1985
AN ARRAY ARCHITECTURE FOR HIGH SPEED PARALLEL PROCESSING,"VKP Kumar, CS Raghavendra","International Symposium on New Directions in Computing, August 12-14, 1985 …",,,1985
TERMINAL RELIABILITY OPTIMIZATION IN DISTRIBUTED PROCESSING SYSTEMS,"S Al-Hariri, CS Raghavendra","Proceedings, 71",,,1984
MULTI-CONNECTED LOOP TOPOLOGIES,"CS RAGHAVENDRA, M GERLA, DS PARKER","COMPUTER NETWORKS AND ISDN SYSTEMS 6 (5), 368-368",,,1982
DCRoute,"M Noormohammadpour, C Raghavendra, S Rao",,,,
