AuthorID,AuthorName,Count_cited
2msccsAAAAAJ,Jerome Hastings,17304
1VbgRNsAAAAJ,Joshua T. Robinson,17281
sfJIWdcAAAAJ,Le Cong 丛乐,17250
NVr4vgwAAAAJ,George John,17215
63M0SFwAAAAJ,Richard G. Luthy,17184
P2VyO-YAAAAJ,Chiara Sabatti,17156
UoT1mmAAAAAJ,Mindy Tsai,17139
FuMuJGYAAAAJ,Alan Luntz,17109
VvSOXCAAAAAJ,Michael Bratman,17074
YPzKczYAAAAJ,Maneesh Agrawala,17072
h7-LMhIAAAAJ,Alan Luntz,17066
INbaZVEAAAAJ,Maximilian Diehn,17060
j6382AQAAAAJ,James Fishkin,16946
VUi7eM8AAAAJ,Sanjeev Satheesh,16866
Bz-b2a0AAAAJ,Dawson Engler,16831
DSbbGNIAAAAJ,Zhi-Yong Wang,16806
C1c54H4AAAAJ,Tim Stearns,16785
16rpqWQAAAAJ,David Mazières,16732
CnwxT3kAAAAJ,"Gary Mavko, Gerald Mavko, Gerald M Mavko, GM Mavko, GM Mavko, G Mavko",16699
Z5Zjy6cAAAAJ,Susan P Holmes,16641
JMzCwGEAAAAJ,Dan Schwartz,16624
ImpbxLsAAAAJ,Silvio Savarese,16579
8ps2ESwAAAAJ,Paul Khavari,16553
zX3ba1kAAAAJ,Moses Charikar,16538
lD4Yjn4AAAAJ,Allison Okamura,16515
GfQHfuUAAAAJ,Marlene Rabinovitch,16472
lsTPhNgAAAAJ,Amit Etkin,16420
gos7bWEAAAAJ,Shawn M. Gillespie,16407
xUKk3j8AAAAJ,Philip Scherrer,16355
3Tj9toIAAAAJ,Michael Z Lin,16297
JHwivywAAAAJ,Pei Cao,16163
Ls5kVcEAAAAJ,piero pianetta,16120
en0rK6QAAAAJ,Donghui Lu,16106
m_hJ7-MAAAAJ,Do Y Yoon,16099
w_JYUtkAAAAJ,Jeremy Bailenson,16051
ijoha54AAAAJ,Paul McIntyre,16050
W0-tM5gAAAAJ,stephan a. graham,16029
3erVpAcAAAAJ,Amado M. Padilla,15960
rlCW0SkAAAAJ,Michael Genesereth,15891
1h_0s3wAAAAJ,Susan K. McConnell,15797
HaUJ80sAAAAJ,Eila Skinner,15745
g6mt150AAAAJ,Joshua W. Knowles,15623
fU4Y4fEAAAAJ,Jeffrey T. Hancock,15570
WKfXwHkAAAAJ,Russell D. Fernald,15531
q-xHc2YAAAAJ,Kathryn McDonald,15508
T6mEiwMAAAAJ,Jerry Porras,15507
dqJPxhEAAAAJ,Sandy Napel,15464
wqs6duEAAAAJ,Craig Criddle,15429
nNdavecAAAAJ,Alan K Burnham,15398
G3ux1H0AAAAJ,Page Chamberlain,15332
KP2EfmcAAAAJ,Garry Gold,15314
ecLMpPQAAAAJ,Zhen Cheng,15207
fft72CcAAAAJ,DC Phillips,15198
eFZVnREAAAAJ,Daniel  V. Madison,15064
VPCX2XMAAAAJ,Virginia Marchman,14997
ABM0fgcAAAAJ,Kalanit Grill-Spector,14994
r3q68rcAAAAJ,Andrea Montanari,14941
sfkluXUAAAAJ,Guadalupe Valdes,14840
xD3JS3sAAAAJ,Albert J. Wong,14757
blhJ8wQAAAAJ,George Springer,14671
ht_PaFUAAAAJ,Tina Hernandez-Boussard,14643
zei24_YAAAAJ,Julie A. Theriot,14627
D4JJZf8AAAAJ,Dean Felsher,14624
6bOeFTwAAAAJ,Antonio J. Ricco,14615
lb7BrecAAAAJ,Louis Durlofsky,14561
682c0sMAAAAJ,Frederic Shapiro,14548
1ksjPSoAAAAJ,Uwe Bergmann,14546
HXdaP9cAAAAJ,Todd H Wagner,14534
r1S7uvEAAAAJ,Krishna V Shenoy,14503
-LPp6oUAAAAJ,Aaron D. Gitler,14471
L1-cVvoAAAAJ,Noah Diffenbaugh,14325
5i9FResAAAAJ,Judith Frydman,14285
zFJUD8EAAAAJ,Tom Devereaux,14253
cw1v_08AAAAJ,Sam Wineburg,14198
d18bFVgAAAAJ,Shoshana Levy,14117
qYjuVCUAAAAJ,Jon Claerbout,14062
GgiwIQ0AAAAJ,Richard B. Moss,14018
DjnVSzsAAAAJ,Maarten Lansberg,13987
-ka8IUgAAAAJ,Brian Rutt,13977
lijNBJIAAAAJ,Anthony E. Oro,13973
Kh9REfEAAAAJ,Dmitri A Petrov,13949
-ZR7E4kAAAAJ,David B. Montgomery,13930
mq_BWmwAAAAJ,Matthew Porteus,13919
39Y_XUYAAAAJ,Leonid Kazovsky,13906
9A6exiwAAAAJ,Neal Parikh,13867
UIfCccUAAAAJ,Keith Humphreys,13593
PucOVV0AAAAJ,Randall Morris,13568
KFDVSDIAAAAJ,Joseph Berger,13477
fMPZlLEAAAAJ,Reinhold H. Dauskardt,13470
BI9LifAAAAAJ,Kyle Bagwell,13467
VXGV-JMAAAAJ,Heidi Feldman,13454
YrYHPYAAAAAJ,Michael Shanks,13451
cy6zM7sAAAAJ,Phil Marshall,13423
u_jPc_wAAAAJ,Sarah A. Soule,13330
hND8gUYAAAAJ,Ivan Soltesz,13293
Sp4fJhoAAAAJ,Stacey Bent,13266
4vzzglkAAAAJ,Jon Todd Hoeksema,13232
ImtW1GEAAAAJ,H. Tom Soh,13160
Uria0VYAAAAJ,David Goldhaber-Gordon,13157
n63DmP8AAAAJ,Nigam Shah,13145
HEC6xzkAAAAJ,Keith Krehbiel,13125
xMEYWr0AAAAJ,Michael McWilliams,13104
Bcvkc-8AAAAJ,Mintu Turakhia MD MAS,13092
X_RB3M8AAAAJ,Deborah Gruenfeld,13023
4RsaPY8AAAAJ,James zehnder,13014
k7VNoNUAAAAJ,Jo Boaler,13013
TKAUSip1sWcJ,Douglas Brutlag,12985
lkUWQmQAAAAJ,Simon Klemperer,12951
i5srt20AAAAJ,John Duchi,12938
S-8-QyIAAAAJ,Jens Hainmueller,12928
R73nAI4AAAAJ,Greg Beroza,12911
NGV5mnwAAAAJ,David Maahs,12897
jopHD6kAAAAJ,"Or Gozani, MD, Ph.D.",12882
PbVreWgAAAAJ,Daniel Bernstein,12849
jEzWxQIAAAAJ,Jonathan Taylor,12841
I7ms4FsAAAAJ,Pablo Villoslada,12820
JG0tDEEAAAAJ,Zhirong Huang,12802
e5JVFPYAAAAJ,Laurence Baker,12759
7iV1PPYAAAAJ,Stanley Qi,12753
vduyqcMAAAAJ,Harley H. McAdams,12699
lDKemKgAAAAJ,"Guosong Hong, PhD, Assistant Professor",12691
UdaJi94AAAAJ,Susan Athey,12630
wzQIH8kAAAAJ,Lauri Karttunen,12614
LKx7rDsAAAAJ,sean f. reardon,12610
_e88pTgAAAAJ,Samson Tu,12593
KW4vFygAAAAJ,Olav Solgaard,12584
jYMIfUoAAAAJ,Steven Gorelick,12576
FyWf5ioAAAAJ,Zhifen Yang,12467
XaXGhXEAAAAJ,Michael Mlynash,12460
uCfuXUYAAAAJ,Mark Denny,12430
RwBvt8kAAAAJ,Yun-Tse Tsai,12379
HSh65a0AAAAJ,Hsiao-Mei Cho,12273
inFcDagAAAAJ,Hirohito Ogasawara,12244
YHg7SDMAAAAJ,Sean Mackey,12156
krWxAA4AAAAJ,Matthew Gentzkow,12095
3nQ-eq4AAAAJ,Eric Chu,12083
OJmRmEUAAAAJ,Robert  W. Schoenlein,12072
ktoku4EAAAAJ,Jay B. Jeffries,12070
juUEPSAAAAAJ,Rhiju Das,12065
Qlp8y-oAAAAJ,Tapan Mukerji,12047
1cy-HoEAAAAJ,Gianluca Iaccarino,12038
dj4EiqsAAAAJ,Julien Sage,12037
DnnCWN0AAAAJ,Christopher Ré,11949
GOvsie0AAAAJ,Heather Wakelee,11875
V8bau84AAAAJ,Brigid Barron,11770
B_rKfusAAAAJ,Ashish Goel,11703
uQ1rl0UAAAAJ,Michael Tomz,11668
dyxEUXMAAAAJ,Ian Morris,11654
sCZna1kAAAAJ,Mary Hynes,11641
XtUDoEwAAAAJ,Aaron Straight,11625
ez52Y4EAAAAJ,Londa Schiebinger,11607
vBoqWNMAAAAJ,"Utkan Demirci, PhD",11589
im82jgIAAAAJ,Jack W Baker,11562
1TxbN2YAAAAJ,Aaron F. Straight,11559
9N9PPqAAAAAJ,Gregory M. Walton,11549
Qs2N8fMAAAAJ,Jianghong Rao,11512
mPvBGo8AAAAJ,paul van hummelen,11481
Bx2Ta0IAAAAJ,Julie Kauer,11476
xKIXrxUAAAAJ,David Davidson,11466
PWDv8L8AAAAJ,Judith Goldstein,11451
ppx71KUAAAAJ,Marshall Burke,11428
dErAioMAAAAJ,Michael C. Frank,11419
nAAfhMcAAAAJ,Ralph Hurd,11394
kcQ0cBAAAAAJ,Kai Chen,11318
BDqIRPkAAAAJ,Thomas S. Dee,11310
gunBPPcAAAAJ,Andrew G. Walder,11262
jNBJYwcAAAAJ,FM Orr,11225
cdcieC4AAAAJ,Matthew Kanan,11216
gf31_28AAAAJ,Eric Shaqfeh,11155
_e5OvWgAAAAJ,Deborah M Gordon,11106
