Title,Authors,Conference,Cited_url,Cited_count,Year
Future internet: fundamentals and measurement,T Spyropoulos; S Fdida; S Kirkpatrick,ACM SIGCOMM Computer Communication Review 37 (2); 101-106,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18358228494370542248,25,2007
On leveraging partial paths in partially-connected networks,S Heimlicher; M Karaliopoulos; H Levy; T Spyropoulos,IEEE INFOCOM 2009; 55-63,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11473266440934086259,24,2009
Forecasting DTN performance under heterogeneous mobility: The case of limited replication,A Picu; T Spyropoulos,2012 9th Annual IEEE Communications Society Conference on Sensor; Mesh and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=13439774859651892782,23,2012
Stumbl: Using facebook to collect rich datasets for opportunistic networking research,T Hossmann; F Legendre; G Nomikos; T Spyropoulos,2011 IEEE International Symposium on a World of Wireless; Mobile and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=9139221951456490547,22,2011
Modelling and analysis of communication traffic heterogeneity in opportunistic networks,P Sermpezis; T Spyropoulos,IEEE Transactions on Mobile Computing 14 (11); 2316-2331,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18356638319531020259,21,2015
Reducing the energy consumption of small cell networks subject to QoE constraints,N Sapountzis; S Sarantidis; T Spyropoulos; N Nikaein; U Salim,2014 IEEE Global Communications Conference; 2485-2491,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6508395616264045291,21,2014
Not all content is created equal: Effect of popularity and availability for content-centric opportunistic networking,P Sermpezis; T Spyropoulos,Proceedings of the 15th ACM international symposium on Mobile ad hoc …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3978242347264593992,21,2014
Performance modeling; analysis; and optimization of delayed mobile data offloading for mobile users,F Mehmeti; T Spyropoulos,IEEE/ACM Transactions on Networking (TON) 25 (1); 550-564,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15092338911204434592,20,2017
Social network analysis of human mobility and implications for dtn performance analysis and mobility modeling,T Hossmann; T Spyropoulos; F Legendre,Computer Engineering and Networks Laboratory ETH Zurich; Tech. Rep 323,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15711285093383981329,19,2010
An analytical framework for optimal downlink-uplink user association in hetnets with traffic differentiation,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,2015 IEEE Global Communications Conference (GLOBECOM); 1-7,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3623666158768607831,18,2015
Minimum expected*-cast time in DTNs,A Picu; T Spyropoulos,International Conference on Bio-Inspired Models of Network; Information; and …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18029331219392668578,18,2009
Effects of content popularity on the performance of content-centric opportunistic networking: An analytical approach and applications,P Sermpezis; T Spyropoulos,IEEE/ACM Transactions on Networking 24 (6); 3354-3368,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=4585813728741614647,14,2016
A distributed algorithm for waking-up in heterogeneous sensor networks,A Spyropoulos; C Raghavendra; V Prasanna,Information Processing in Sensor Networks; 555-555,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=15939568349474463998,14,2003
Optimizing offloading strategies in mobile cloud computing,E Hyytiä; T Spyropoulos; J Ott,Cryptanalyst,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=14302618193600199541,13,2013
