id,name,affiliation,sampled_type,pubs_count,est_cits,journal_pubs_count,conference_pubs_count,nontech_pubs_count,journal_est_cits,conference_est_cits,nontech_est_cits,org_h_index,tech_h_index
2548377250,Zahra Almodares,University of Leeds,europe_randoms,1,85,1,0,0,85,0,0,1,1
2596339929,Jayesh Goyal,University of Exeter,europe_randoms,29,356,20,0,0,349,0,0,9,9
2641124542,D. van Rooyen,University of Cambridge,europe_randoms,1,57,1,0,0,57,0,0,1,1
2785987410,Stephen C. Fitzpatrick,University College Dublin,europe_randoms,2,14,2,0,0,14,0,0,2,2
2568660824,Alexander Bischoff,University of Basel,europe_randoms,24,316,15,0,1,307,0,52,10,9
2152359919,Merja Koskelainen,University of Helsinki,europe_randoms,9,1737,8,0,0,1662,0,0,9,9
2464125413,Constantino Pitzalis,King's College London,europe_randoms,1,171,1,0,0,171,0,0,1,1
2605748658,C. Philpott,University of Oxford,europe_randoms,1,6,1,0,0,6,0,0,1,1
2105702079,Gamze Ates,Vrije Universiteit Brussel,europe_randoms,17,131,16,0,0,131,0,0,8,8
2999041726,Spiegel R,University of Zurich,europe_randoms,1,482,1,0,0,482,0,0,1,1
2652733481,W. Moritz,Ludwig Maximilian University of Munich,europe_randoms,1,0,0,0,0,0,0,0,0,0
2974195389,F. Loeser,Free University of Berlin,europe_randoms,1,6,0,1,0,0,6,0,1,1
2098185608,Michele Gatti,University of Zurich,europe_randoms,24,1317,21,0,0,1317,0,0,15,15
2676309972,P.D.M. Hughes,University of Southampton,europe_randoms,1,30,1,0,0,30,0,0,1,1
2294972918,Claudia Klein,Ludwig Maximilian University of Munich,europe_randoms,3,208,3,0,0,208,0,0,1,1
2714629796,L. Bruun,University of Copenhagen,europe_randoms,1,0,0,0,0,0,0,0,0,0
1547672864,Mahesh Sarki,University of Copenhagen,europe_randoms,5,4,2,0,1,4,0,2,2,1
2121176477,G. Carey Foster,University College London,europe_randoms,8,6,8,0,0,6,0,0,2,2
2768130584,R. G. Hemingway,University of Glasgow,europe_randoms,12,84,12,0,0,84,0,0,7,7
2748632472,Vanya Avramova,Royal Institute of Technology,europe_randoms,3,8,0,3,0,0,8,0,2,2
2039878034,Alice Ronchi,University of Bologna,europe_randoms,3,34,3,0,0,34,0,0,3,3
2893563261,A. Hachemi,RWTH Aachen University,europe_randoms,1,32,1,0,0,32,0,0,1,1
2582156571,Sergio Tobón,Complutense University of Madrid,europe_randoms,17,28,3,0,0,8,0,0,4,4
2684357833,A. C. R. Dean,University of Oxford,europe_randoms,1,3,1,0,0,3,0,0,1,1
2920103476,A. D. Kurenkova,Moscow State University,europe_randoms,1,0,1,0,0,0,0,0,0,0
2464205163,N.V. Gusinskaia,University of Amsterdam,europe_randoms,11,124,9,0,0,120,0,0,6,6
2584122791,John Foster,University of Manchester,europe_randoms,1,0,1,0,0,0,0,0,0,0
2400352439,Rosario Nuño,Autonomous University of Barcelona,europe_randoms,1,7,1,0,0,7,0,0,1,1
2999094517,T Ambrose,University of Oxford,europe_randoms,2,0,2,0,0,0,0,0,0,0
2571685268,Sophie E. Wilkinson,University of Manchester,europe_randoms,1,9,1,0,0,9,0,0,1,1
2981617676,S Scherzer,University of Zurich,europe_randoms,1,0,1,0,0,0,0,0,0,0
2138500335,M.M.M. van Reen,Radboud University Nijmegen,europe_randoms,6,1196,6,0,0,1196,0,0,6,6
2698927967,F.L. Raymond,University of Oxford,europe_randoms,1,206,1,0,0,206,0,0,1,1
2147746667,Esther Hörmann,University of Basel,europe_randoms,4,367,4,0,0,367,0,0,4,4
2403452328,Bernhard Schlott,Katholieke Universiteit Leuven,europe_randoms,1,25,1,0,0,25,0,0,1,1
2559568573,Annalisa Theodorou,Sapienza University of Rome,europe_randoms,8,8,7,0,0,7,0,0,1,1
2988302489,L. A. Daamen,Utrecht University,europe_randoms,1,0,1,0,0,0,0,0,0,0
2109877213,Laura Wolff,Technische Universität München,europe_randoms,2,7,2,0,0,7,0,0,2,2
2702139684,Christine C. Enzmann,University of Hamburg,europe_randoms,1,205,1,0,0,205,0,0,1,1
2020183749,Gerardus P.J. van Hout,Utrecht University,europe_randoms,21,300,20,0,0,298,0,0,9,9
2159274454,Alex Q. Chen,University of Manchester,europe_randoms,15,168,6,3,1,148,12,1,5,5
2779935943,Sandra Dowling,Queen's University Belfast,europe_randoms,2,4,2,0,0,4,0,0,1,1
2717069234,Peter Surmann,Humboldt University of Berlin,europe_randoms,3,29,3,0,0,29,0,0,2,2
2642571607,Elena Lamberti,University of Bologna,europe_randoms,19,32,4,0,0,0,0,0,2,2
1828559647,Carlos Yagüe,Complutense University of Madrid,europe_randoms,97,1477,48,0,0,1433,0,0,17,17
2500685841,Miquel Ortega Cerdà,Autonomous University of Barcelona,europe_randoms,3,2,1,1,0,1,1,0,1,1
2519816225,Soha Saad,CentraleSupélec,europe_randoms,3,0,0,1,0,0,0,0,0,0
2768758123,V. A. Babain,Saint Petersburg State University,europe_randoms,28,444,26,0,0,442,0,0,12,12
2589750883,Arnold Flammersfeld,University of Göttingen,europe_randoms,4,16,3,0,0,14,0,0,3,3
2095589008,Saara N. A. Qazi,University of Nottingham,europe_randoms,12,1433,10,0,0,1427,0,0,9,9
2308395894,Sally Leung,Queen's University Belfast,europe_randoms,1,118,1,0,0,118,0,0,1,1
2504232941,Jaroslava Sperkova,Eindhoven University of Technology,europe_randoms,6,53,6,0,0,53,0,0,4,4
1987908028,Kris Gellynck,University College London,europe_randoms,32,449,18,0,0,442,0,0,10,10
2515825140,Y. Wu,Erasmus University Rotterdam,europe_randoms,1,2,1,0,0,2,0,0,1,1
2888470404,S. Bouquillon,University of Paris,europe_randoms,3,1364,3,0,1,1292,0,854,4,3
2286654023,Antonio Acri,Polytechnic University of Milan,europe_randoms,14,25,7,0,0,19,0,0,2,2
2086519941,Yuri G. Bogatsky,Moscow State University,europe_randoms,1,16,1,0,0,16,0,0,1,1
2442581728,D.A. White,University of Birmingham,europe_randoms,1,25,1,0,0,25,0,0,1,1
2056032225,Sanath R. Ediriweera,University of Manchester,europe_randoms,3,9,1,0,0,2,0,0,2,2
2657628184,A.P. Webb,University of Glasgow,europe_randoms,1,0,1,0,0,0,0,0,0,0
2627297192,A. A. Pastor,Saint Petersburg State University,europe_randoms,3,3,2,0,0,3,0,0,1,1
2468804444,F. Klein,Aarhus University,europe_randoms,2,919,2,0,0,919,0,0,2,2
2638913756,Alexander Mullen,Loughborough University,europe_randoms,1,12,1,0,0,12,0,0,1,1
2649821194,J.R. Forrest,University of Oxford,europe_randoms,1,4,0,0,0,0,0,0,1,1
2492512326,A.M. Jezequel,Sapienza University of Rome,europe_randoms,29,1006,29,0,0,1006,0,0,13,13
2648913486,M. E. Herring,Imperial College London,europe_randoms,2,28,1,0,0,23,0,0,2,2
2879920252,C. Waters,Queen's University Belfast,europe_randoms,1,24,1,0,0,24,0,0,1,1
2164109874,David M. Goodall,University of York,europe_randoms,141,4659,115,0,0,4504,0,0,35,35
2682066729,F. X. Maidl,Technische Universität München,europe_randoms,6,32,6,0,0,32,0,0,3,3
2667790101,Joanna Moe,University of Bristol,europe_randoms,1,8,1,0,0,8,0,0,1,1
300422154,Erwin Guijt,Delft University of Technology,europe_randoms,3,38,3,0,0,38,0,0,3,3
2707688071,M. Vogel,Dresden University of Technology,europe_randoms,5,14,5,0,0,14,0,0,2,2
2911438477,Max Robinson FRCPath,Newcastle University,europe_randoms,1,9,1,0,0,9,0,0,1,1
2571509272,Kristine B. Jensen,University of Copenhagen,europe_randoms,2,40,2,0,0,40,0,0,2,2
2973896145,Suzan Ber,University of Cambridge,europe_randoms,2,29,1,0,0,28,0,0,1,1
2643626415,Suzanne Bracken,"Trinity College, Dublin",europe_randoms,1,30,1,0,0,30,0,0,1,1
2117244544,Wolfgang Eichler,Heidelberg University,europe_randoms,61,463,55,0,0,459,0,0,11,11
2676821800,Qiushi Liang,Erasmus University Rotterdam,europe_randoms,1,0,1,0,0,0,0,0,0,0
2688931156,E.J.M. Damme,Katholieke Universiteit Leuven,europe_randoms,1,65,1,0,0,65,0,0,1,1
2705642229,H. Nirschl,Technische Universität München,europe_randoms,4,90,1,0,0,65,0,0,3,3
2463334567,Aloysius J.J.E. Eerhart,Utrecht University,europe_randoms,4,314,3,0,0,314,0,0,3,3
2275411841,M. Murdock,Queen's University Belfast,europe_randoms,2,3,2,0,0,3,0,0,1,1
2308834015,E.E. Voglis,Queen Mary University of London,europe_randoms,1,2,0,0,0,0,0,0,1,1
2970938976,Mahnaz Sadat Qafari,RWTH Aachen University,europe_randoms,1,0,0,0,0,0,0,0,0,0
2280322849,Mark Mavrogordato,University of Southampton,europe_randoms,53,768,33,0,0,754,0,0,15,15
2634872595,R. Haglund,Lund University,europe_randoms,3,34,2,0,0,34,0,0,2,2
2553609117,Mylène Florentin,University of Paris,europe_randoms,1,0,0,0,0,0,0,0,0,0
