nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
294083,/universities/universite-laval,Université Laval,"<img src=""https://www.topuniversities.com/sites/default/files/laval-university_337_small.jpg"" alt=""Université Laval Logo"">",337,27.7,416,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",416,Université+Laval,-1
297230,/universities/tulane-university,Tulane University,"<img src=""https://www.topuniversities.com/sites/default/files/tulane-university_631_small.jpg"" alt=""Tulane University Logo"">",631,27.4,419,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",419,Tulane+University,-1
294247,/universities/illinois-institute-technology,Illinois Institute of Technology,"<img src=""https://www.topuniversities.com/sites/default/files/illinois-institute-of-technology_277_small.jpg"" alt=""Illinois Institute of Technology Logo"">",277,27.3,421,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",421,Illinois+Institute+of+Technology,-1
294215,/universities/university-iowa,University of Iowa,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-iowa_295_small.jpg"" alt=""University of Iowa Logo"">",295,27.3,421,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",421,University+of+Iowa,-1
297105,/universities/boston-college,Boston College,"<img src=""https://www.topuniversities.com/sites/default/files/boston-college_723_small_0.jpg"" alt=""Boston College Logo"">",723,26.7,432,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",432,Boston+College,-1
296893,/universities/university-saskatchewan,University of Saskatchewan,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-saskatchewan_1755_small.jpg"" alt=""University of Saskatchewan Logo"">",1755,26.2,439,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",439,University+of+Saskatchewan,-1
294521,/universities/colorado-state-university,Colorado State University,"<img src=""https://www.topuniversities.com/sites/default/files/colorado-state-university_136_small_0.jpg"" alt=""Colorado State University Logo"">",136,26,442,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",442,Colorado+State+University,-1
294402,/universities/florida-state-university,Florida State University,"<img src=""https://www.topuniversities.com/sites/default/files/florida-state-university_211_small.jpg"" alt=""Florida State University Logo"">",211,25.8,448,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",448,Florida+State+University,-1
294568,/universities/university-california-riverside,"University of California, Riverside","<img src=""https://www.topuniversities.com/sites/default/files/university-of-california-riverside_88_small.jpg"" alt=""University of California, Riverside Logo"">",88,25.6,454,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",454,"University+of+California,+Riverside",-1
295062,/universities/university-maryland-baltimore-county,"University of Maryland, Baltimore County","<img src=""https://www.topuniversities.com/sites/default/files/university-of-maryland-baltimore-county_592560cf2aeae70239af52af_small.jpg"" alt=""University of Maryland, Baltimore County Logo"">",2092,25.4,460,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",460,"University+of+Maryland,+Baltimore+County",-1
